55.54 0 4.65 12 66.1 0 5.96 76 0 0 0 0 1 0 0 0 0 0
55.54 0 4.65 12 66.1 0 5.96 76 0 0 1 0 0 0 0 0 0 -3
55.54 0 4.65 12 66.1 0 5.96 76 0 0 0 0 0 0 1 0 0 0
60.98 0.0179 4.09 142 66.1 0.0054 2.7 216 0 0 1 0 0 0 0 0 0 0
60.98 0.0179 4.09 142 66.1 0.0054 2.7 216 0 0 1 0 0 0 0 0 0 -6
60.98 0.0179 4.09 142 66.1 0.0054 2.7 216 0 0 0 0 1 0 0 0 0 -5
60.98 0.0179 4.09 142 66.1 0.0054 2.7 216 0 0 0 0 0 0 1 0 0 0
60.98 0.0179 4.09 142 66.1 0.0054 2.7 216 0 0 0 0 0 0 1 0 0 0
59.23 0.0019 0.13 145 62.63 0.0003 6.52 184 0 0 1 0 0 0 0 0 0 0
59.23 0.0019 0.13 145 62.63 0.0003 6.52 184 0 0 0 0 1 0 0 0 0 0
59.23 0.0019 0.13 145 62.63 0.0003 6.52 184 0 0 0 0 0 0 1 0 0 0
59.23 0.0019 0.13 145 62.63 0.0003 6.52 184 0 0 0 0 0 0 1 0 0 0
59.28 0.0004 9.18 260 64.19 0.001 7.86 242 0 0 1 0 0 0 0 0 0 0
59.28 0.0004 9.18 260 64.19 0.001 7.86 242 0 0 0 0 1 0 0 0 0 -2
59.28 0.0004 9.18 260 64.19 0.001 7.86 242 0 0 0 0 0 0 1 0 0 0
53.91 0.0003 7.93 281 57.19 0 5.9 241 0 0 1 0 0 0 0 0 0 40
53.91 0.0003 7.93 281 57.19 0 5.9 241 0 0 1 0 0 0 0 0 0 0
53.91 0.0003 7.93 281 57.19 0 5.9 241 0 0 0 0 0 0 1 0 0 0
53.91 0.0003 7.93 281 57.19 0 5.9 241 0 0 0 0 0 0 1 0 0 0
45.13 0 3.43 108 60.53 0 9.79 89 0 0 1 0 0 0 0 0 0 -8
45.13 0 3.43 108 60.53 0 9.79 89 0 0 1 0 0 0 0 0 0 -4
45.13 0 3.43 108 60.53 0 9.79 89 0 0 0 0 0 0 1 0 0 0
